Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000946290571975534,-0.12915113733177,0.480025430006642,0,0,0,1.8672299751897,0.20683973259385,-6.55086035418017E-09,-8.68938080271085E-08,0.200713656220381,1.03403067130152E-06,0.00897810829760413,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/base_link.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/base_link.STL,,底盘-2/装配体4^底盘-1/20-20铝型材500-3;底盘-2/装配体4^底盘-1/20-20铝型材500-6;底盘-2/装配体4^底盘-1/20-20铝型材350-3;底盘-2/装配体4^底盘-1/20-20铝型材350-4;底盘-2/轴承固定座-8mm-5;底盘-2/轴承固定座-8mm-1;底盘-2/轴承固定座-8mm-4;底盘-2/轴承固定座-8mm-8;底盘-2/轴承固定座-8mm-7;底盘-2/轴承固定座-8mm-3;底盘-2/Mirror装配体5^底盘-3/Mirrorel051-1;底盘-2/装配体5^底盘-4/el05-1;底盘-2/装配体5^底盘-1/el05-1;底盘-2/Mirror装配体5^底盘-2/Mirrorel051-1;底盘-2/轴承固定座-8mm-6;底盘-2/轴承固定座-8mm-2;底盘-2/Mirror装配体5^底盘-2/打印-轮架2-1;底盘-2/装配体5^底盘-1/打印-轮架2-1;底盘-2/装配体5^底盘-4/打印-轮架2-1;底盘-2/Mirror装配体5^底盘-3/打印-轮架2-1;升降柱-1/40-40铝型材150-1;升降柱-1/丝杆1610-1;底盘-2/装配体4^底盘-1/20-20铝型材500-2;底盘-2/装配体4^底盘-1/20-20铝型材500-1;升降柱-1/角码4040-2,root-xyz,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lift_Link,-0.0032251888296692,-0.0788976644034202,0.0915259113888864,0,0,0,0.590735662767956,0.00181420250207392,-3.35445091435651E-07,7.73905188627194E-08,0.00053613371748347,-1.42508878593223E-05,0.0013636647402106,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/lift_Link.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/lift_Link.STL,,主体-1/腰身-1/腰托-1/丝杆螺母-1;主体-1/腰身-1/腰托-1/加工-丝杆螺母座-1;主体-1/腰身-1/装配体2^腰身-3/加工-电机固定04-1;主体-1/腰身-1/RS04-1;主体-1/腰身-1/装配体1^腰身-1/升降座-1;主体-1/腰身-1/装配体1^腰身-1/升降座转-1;主体-1/腰身-1/Mirror装配体1^腰身-2/Mirror升降座-2;主体-1/腰身-1/Mirror装配体1^腰身-2/Mirror升降座转-2;主体-1/腰身-1/加工-04垫高背面-2,lift-xyz,lift-axis,"
lift_Link",prismatic,0,-0.0930000000000004,0.577289106240448,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
waist_Link,-0.000297704447897095,-0.164222576282015,0.241074573174174,0,0,0,1.90391027149609,0.00626912605448265,-7.84067855987203E-08,5.15870169663413E-07,0.00705563713607578,-0.000270904072319098,0.00338876895954968,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/waist_Link.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/waist_Link.STL,,主体-1/腰身-1/身体-1;主体-1/腰身-1/打印-04垫高10mm-1;主体-1/腰身-1/同轴架盘-2;主体-1/腰身-1/腰部-1/加工-腰-1;主体-1/腰身-1/外壳-腰中壳-1;主体-1/腰身-1/Mirror腰部1-2/Mirror加工-腰1-1;主体-1/腰身-1/Mirror外壳-腰中壳-2;主体-1/腰身-1/外壳-腰中架-2;主体-1/OpenArmX-1/J1-1/RS04-1;主体-1/OpenArmX-1/J1-1/装配体1^J1-3/打印-J1_A-1;主体-1/OpenArmX-1/J1-1/装配体1^J1-3/加工-J1_A-1;主体-1/MirrorOpenArmX-2/MirrorJ1-1/Mirror装配体11^MirrorJ1-1/Mirror打印-J1_A-1;主体-1/MirrorOpenArmX-2/MirrorJ1-1/Mirror装配体11^MirrorJ1-1/Mirror加工-J1_A-1;主体-1/腰身-1/脖拖-1;主体-1/腰身-1/外壳-腰中-1;主体-1/腰身-1/腰部-1/10-20铝型材275-1;主体-1/腰身-1/Mirror腰部1-2/Mirror10-20铝型材275-1;主体-1/腰身-1/外壳-腰中-3;主体-1/头部-1/外壳-脖圈-1;主体-1/MirrorOpenArmX-2/MirrorJ1-1/MirrorRS04-1;主体-1/MirrorOpenArmX-2/Mirror外壳1-0-3;主体-1/OpenArmX-1/外壳1-0-2;主体-1/头部-1/装配体1-1/打印-头部固定1-1;主体-1/头部-1/装配体1-1/LX-16A舵机_3D图纸-1,waist-xyz,waist-axis,waist_Link,revolute,0,0,0.04,0,0,0,lift_Link,-1,0,0,0,0,0,0,,,,,,,,
head_Link,0.000942002043245397,0.00143657312009368,0.0170585208252467,0,0,0,0.0401514926582812,8.86185725101857E-06,1.03594764925057E-09,-2.31662433923539E-09,8.35521578881493E-06,-6.77190367793502E-07,1.09423938530696E-05,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/head_Link.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/head_Link.STL,,主体-1/头部-1/打印-手掌-1;主体-1/头部-1/LX-16A舵机_3D图纸-4,head-xyz1,head-axis1,head_Link,revolute,0,-0.163916235400507,0.448200000000012,0,0,0,waist_Link,0,0,-1,0,0,0,0,,,,,,,,
head_Link2,0.0183113478640227,-0.0112581722816327,0.0556259375033163,0,0,0,0.189625426643452,0.00023449694323182,2.74703102249315E-09,5.56789372379246E-08,0.000215834140287963,-1.49685149426855E-05,0.000181588455298984,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/head_Link2.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/head_Link2.STL,,主体-1/头部-1/打印-头部固定4-1;主体-1/头部-1/打印-头部支架-1;主体-1/头部-1/喇叭-2;主体-1/头部-1/喇叭-1;主体-1/头部-1/打印-头-端-1;主体-1/头部-1/摄像头-1,head-xyz2,head-axis2,head_Link2,revolute,-0.0183049377506555,-0.0130000000000431,0.0225999999999615,0,0,0,head_Link,1,0,0,0,0,0,0,,,,,,,,
right_arm1,-0.0768539268602273,0.00192679324933256,5.60569234686614E-06,0,0,0,0.277168822184387,0.00015787475844511,-3.03644038495905E-07,-7.5241698487544E-09,0.000210695273242203,-1.36492261784467E-10,0.000147675067222301,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/right_arm1.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/right_arm1.STL,,主体-1/OpenArmX-1/J1-1/加工-04-垫高-1;主体-1/OpenArmX-1/加工-固定1-2;主体-1/OpenArmX-1/加工-固定1-1;主体-1/OpenArmX-1/肩膀电机06^OpenArmX-1/RS06-1,right-xyz1,right-axis1,right_arm1,revolute,-0.0650100000000005,-0.14898591584271,0.322499999999999,0,0,0,waist_Link,-1,0,0,0,0,0,0,,,,,,,,
right_arm2,-3.44780114891474E-06,0.0148942670038915,-0.0820448469965109,0,0,0,0.210693834825324,0.000156746561058226,1.22905868589011E-07,1.24954412785924E-08,0.000146693861668498,-1.67841263123689E-06,0.00011808771853944,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/right_arm2.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/right_arm2.STL,,主体-1/OpenArmX-1/肩膀电机06^OpenArmX-1/打印-06-垫高-1;主体-1/OpenArmX-1/装配体5^OpenArmX-1/加工-固定2-2-1;主体-1/OpenArmX-1/外壳1-3-1;主体-1/OpenArmX-1/RS00-2,right-xyz2,right-axis2,right_arm2,revolute,-0.0825,-0.0205,0,0,0,0,right_arm1,0,-1,0,0,0,0,0,,,,,,,,
right_arm3,-0.00852610592795894,0.000538620510727561,-0.110851344537933,0,0,0,0.162415092593513,8.84289771003369E-05,-8.60789444314427E-09,1.32935236804122E-08,8.50832463872933E-05,4.74061870407804E-06,6.01820769264017E-05,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/right_arm3.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/right_arm3.STL,,主体-1/OpenArmX-1/打印-00-垫高-1;主体-1/OpenArmX-1/装配体2^OpenArmX-1/加工-固定3-1-1;主体-1/OpenArmX-1/装配体2^OpenArmX-1/加工-固定3-2-1;主体-1/OpenArmX-1/RS00-1,right-xyz3,right-axis3,right_arm3,revolute,0,0.0204999806952246,-0.1204,0,0,0,right_arm2,0,0,-1,0,0,0,0,,,,,,,,
right_arm4,-0.00413597958303372,-1.04286898882366E-05,-0.06823764153195,0,0,0,0.0612625148219103,3.75687584687892E-05,-3.79966941278033E-09,-3.49905688711884E-08,3.60398987782547E-05,-9.45077595706757E-09,1.68085574398451E-05,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/right_arm4.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/right_arm4.STL,,主体-1/OpenArmX-1/打印-00-垫高-4-1;主体-1/OpenArmX-1/装配体3^OpenArmX-1/加工-固定4-2-1;主体-1/OpenArmX-1/装配体3^OpenArmX-1/加工-固定4-1-1;主体-1/OpenArmX-1/el05-1,right-xyz4,right-axis4,right_arm4,revolute,0.00699999999999987,0,-0.128,0,0,0,right_arm3,1,0,0,0,0,0,0,,,,,,,,
right_arm5,-0.00586855929637309,4.82206079233105E-07,-0.0890947799049052,0,0,0,0.0503857005011349,2.49085319855147E-05,-3.73256654385578E-08,3.6039471742802E-08,1.96583686498132E-05,-5.24086134146518E-09,8.36802098465483E-06,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/right_arm5.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/right_arm5.STL,,主体-1/OpenArmX-1/打印-05-垫高-4-1;主体-1/OpenArmX-1/装配体6^OpenArmX-1/加工-固定5-1-1;主体-1/OpenArmX-1/装配体6^OpenArmX-1/加工-固定5-2-1;主体-1/OpenArmX-1/手腕电机^OpenArmX-1/el05-1,right-xyz5,right-axis5,right_arm5,revolute,-0.0146,0,-0.1,0,0,0,right_arm4,0,0,-1,0,0,0,0,,,,,,,,
right_arm6,-0.00644608461528381,-0.000440593497131325,-0.0401691381996548,0,0,0,0.0471983447304541,1.31621948721991E-05,-2.31650566268099E-09,6.77189845194556E-07,1.0731923198326E-05,-4.02286166519103E-08,8.76035600207196E-06,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/right_arm6.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/right_arm6.STL,,主体-1/OpenArmX-1/手腕电机^OpenArmX-1/打印-05-垫高-4-1;主体-1/OpenArmX-1/手-2/加工-固定6-1;主体-1/OpenArmX-1/手-2/打印-手掌-1;主体-1/OpenArmX-1/手-2/LX-16A舵机_3D图纸-1,right-xyz6,right-axis6,right_arm6,revolute,0.00499999999999995,0,-0.121357392395326,0,0,0,right_arm5,1,0,0,0,0,0,0,,,,,,,,
right_arm7,0.00064756683803549,0.0416484658845698,-0.0423877563996514,0,0,0,0.103857535053998,6.80806179939142E-05,2.10553231420253E-08,-2.66595373524877E-09,3.49502253448956E-05,4.20020632701429E-06,5.81754399846435E-05,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/right_arm7.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/right_arm7.STL,,主体-1/OpenArmX-1/手-2/打印-手背-1;主体-1/OpenArmX-1/手-2/LX-16A舵机_3D图纸-2;主体-1/OpenArmX-1/手-2/拇指-1,right-xyz7,right-axis7,right_arm7,revolute,-0.0145000000000001,-0.0276499999999477,-0.0599903810567671,0,0,0,right_arm6,0,-1,0,0,0,0,0,,,,,,,,
right_arm8,0.0192994794423811,0.00229779683558407,-0.046367138705644,0,0,0,0.0398758267789968,5.26653755491588E-05,3.14079056652577E-10,6.26539011552633E-10,6.31879640305231E-05,1.05339082458508E-05,2.42497501201281E-05,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/right_arm8.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/right_arm8.STL,,主体-1/OpenArmX-1/手-2/手掌-1,right-xyz8,right-axis8,right_arm8,revolute,-0.0171,0.0234170897275935,-0.0653487797565743,0,0,0,right_arm7,1,0,0,0,0,0,0,,,,,,,,
right_hand_tcp,-4.60332888474468E-08,-1.44999805912205E-09,-1.8728147377356E-07,0,0,0,0.000143995915056229,1.2632271257894E-09,-3.53844790390022E-15,6.8156718176006E-14,8.77134105058658E-10,-3.52598490870793E-14,8.76991110155712E-10,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/right_hand_tcp.STL,1,1,1,1,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/right_hand_tcp.STL,,主体-1/OpenArmX-1/手-2/4_12_5内-1,right-xyz9,right-axis9,right_hand_tcp,fixed,0,0.151697325563073,-0.0864243839945014,0,0,0,right_arm7,0,0,0,,,,,,,,,,,,
left_arm1,0.0363539123025254,0.00192678870689683,5.60647785885493E-06,0,0,0,0.2771689234867,0.000157874770413574,3.03648849919117E-07,7.52388022155209E-09,0.000210695276621285,-1.37024024624744E-10,0.000147675080181607,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/left_arm1.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/left_arm1.STL,,主体-1/MirrorOpenArmX-2/MirrorJ1-1/Mirror加工-04-垫高-1;主体-1/MirrorOpenArmX-2/Mirror加工-固定1-2;主体-1/MirrorOpenArmX-2/Mirror加工-固定1-1;主体-1/MirrorOpenArmX-2/Mirror装配体1^MirrorOpenArmX-1/MirrorRS06-1,left-xyz1,left-axis1,left_arm1,revolute,0.105510000000001,-0.148985915842714,0.3225,0,0,0,waist_Link,1,0,0,0,0,0,0,,,,,,,,
left_arm2,-2.42058262073241E-07,0.0337460283397339,-0.0828716028476426,0,0,0,0.173551520246761,0.000101995699943918,-1.37368000857082E-07,-8.10017166224272E-09,0.000105274488568744,-6.74907264493885E-08,6.58728241848351E-05,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/left_arm2.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/left_arm2.STL,,主体-1/MirrorOpenArmX-2/Mirror装配体1^MirrorOpenArmX-1/Mirror打印-06-垫高-1;主体-1/MirrorOpenArmX-2/Mirror装配体5^MirrorOpenArmX-1/Mirror加工-固定2-2-1;主体-1/MirrorOpenArmX-2/Mirror装配体5^MirrorOpenArmX-1/Mirror加工-固定2-1-1;主体-1/MirrorOpenArmX-2/MirrorRS00-2,left-xyz2,left-axis2,left_arm2,revolute,0.0420000000000001,-0.0399999999999999,0,0,0,0,left_arm1,0,1,0,0,0,0,0,,,,,,,,
